Item	Size	Weight	Firmness	Rigidity	Breakable	Perishable
Maple Bacon (16 oz)	Medium	Medium	Firm	Flexible	False	True
Tissues (160 count box)	Medium	Light	Firm	Rigid	False	False
Salsa (16 oz glass jar)	Medium	Medium	Hard	Rigid	True	False
Black Cherry Soda (2 liter plastic bottle)	Large	Heavy	Firm	Rigid	False	False
Dog Food (18# bag)	Extra Large	Very Heavy	Firm	Flexible	False	False
Ice Cubes (bag)	Extra Large	Very Heavy	Hard	Rigid	False	True
Orange Juice (½ gallon plastic bottle)	Large	Heavy	Firm	Rigid	False	True
Beans (12 oz can)	Small	Medium	Hard	Rigid	False	False
Tissues (160 count box)	Medium	Light	Firm	Rigid	False	False
Mustard (10 oz plastic jar)	Medium	Medium	Firm	Rigid	False	False
Beer (case cans)	Extra Large	Very Heavy	Hard	Rigid	False	False
Hotdog Buns (8 pack)	Medium	Light	Soft	Flexible	False	True
Light Bulbs (12 pack)	Medium	Light	Firm	Rigid	True	False
2% Milk (½ gallon plastic container)	Large	Heavy	Firm	Firm	False	True
Napkins (300 count)	Large	Light	Soft	Flexible	False	False
Sliced Cheese (8 oz)	Small	Light	Firm	Rigid	False	True
Ketchup (12 oz plastic jar)	Medium	Medium	Firm	Rigid	False	False
Salsa (16 oz glass jar)	Medium	Medium	Hard	Rigid	True	False
Potato Chips (12 oz bag)	Large	Light	Firm	Flexible	True	False
Sponges (2 pack)	Small	Light	Soft	Flexible	False	False
Hotdog Buns (8 pack)	Medium	Light	Soft	Flexible	False	True
Napkins (300 count)	Large	Light	Soft	Flexible	False	False
Tortilla Chips (12 oz bag)	Large	Light	Firm	Flexible	True	False
Pickle Relish (8 oz plastic jar)	Small	Medium	Firm	Rigid	False	False
Eggs (dozen)	Medium	Medium	Firm	Rigid	True	True
Black Cherry Soda (2 liter plastic bottle)	Large	Heavy	Firm	Rigid	False	False
Beer (case bottles)	Extra Large	Very Heavy	Hard	Rigid	True	False
Beans (12 oz can)	Small	Medium	Hard	Rigid	False	False
Potato Chips (12 oz bag)	Large	Light	Firm	Flexible	True	False
Beans (12 oz can)	Small	Medium	Hard	Rigid	False	False
Bread (loaf)	Medium	Light	Soft	Flexible	False	True
Jumbo Hotdogs (6 pack)	Small	Light	Firm	Flexible	False	True
Eggs (dozen)	Medium	Medium	Firm	Rigid	True	True
Pickle Relish (8 oz plastic jar)	Small	Medium	Firm	Rigid	False	False
Jumbo Hotdogs (6 pack)	Small	Light	Firm	Flexible	False	True
